Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
420,Kyle Lewis,OF,SEA,18,0.111,71,19,6,13,0.268,0.885,$0
421,Kelvin Gutierrez,3B,KC,20,0.124,73,19,1,11,0.26,0.66,"$700,000"
422,Rafael Ortega,LF,ATL,34,0.21,88,18,2,10,0.205,0.578,"$700,000"
423,Max Stassi,C,LAA,53,0.327,132,18,1,5,0.136,0.378,"$3,000,000"
424,Kyle Tucker,LF,HOU,22,0.136,67,18,4,11,0.269,0.857,"$700,000"
425,Luke Maile,C,TOR,46,0.284,119,18,2,9,0.151,0.44,"$900,000"
426,Richard Urena,SS,TOR,30,0.185,74,18,0,4,0.243,0.597,$0
427,Gavin Lux,SS,LAD,23,0.142,75,18,2,9,0.24,0.705,"$700,000"
428,Giancarlo Stanton,DH,NYY,18,0.111,59,17,3,13,0.288,0.894,"$19,000,000"
429,Philip Gosselin,2B,PHI,44,0.272,65,17,0,7,0.262,0.602,$0
430,Brendan Rodgers,SS,COL,25,0.154,76,17,0,7,0.224,0.522,"$700,000"
431,Abraham Toro-Hernandez,3B,HOU,25,0.154,78,17,2,9,0.218,0.688,"$700,000"
432,Steven Pearce,1B,BOS,29,0.179,89,16,1,9,0.18,0.503,$0
433,Jedd Gyorko,3B,LAD,62,0.383,92,16,2,9,0.174,0.498,$0
434,Zack Collins,C,CHW,27,0.168,86,16,3,12,0.186,0.656,"$700,000"
435,Nick Williams,RF,PHI,67,0.414,106,16,2,5,0.151,0.442,$0
436,Thairo Estrada,2B,NYY,35,0.216,64,16,3,12,0.25,0.732,"$700,000"
437,Jared Walsh,RP,LAA,35,0.216,79,16,1,5,0.203,0.605,"$700,000"
438,Pat Valaika,SS,COL,40,0.247,79,15,1,4,0.19,0.572,$0
439,Matt Skole,3B,CHW,27,0.168,72,15,0,6,0.208,0.511,$0
440,Austin Wynns,C,BAL,28,0.173,70,15,1,5,0.214,0.518,$0
441,Luis Guillorme,SS,NYM,45,0.278,61,15,1,3,0.246,0.684,"$875,000"
442,Jonathan Davis,CF,TOR,37,0.228,83,15,2,6,0.181,0.531,$0
443,Kevin Cron,1B,ARI,39,0.241,71,15,6,16,0.211,0.79,$0
444,Robel Garcia,2B,CHC,31,0.191,72,15,5,11,0.208,0.775,$0
445,Zack Greinke,SP,HOU,36,0.222,50,14,3,8,0.28,0.888,"$13,000,000"
446,Austin Allen,C,SD,34,0.21,65,14,0,3,0.215,0.559,"$700,000"
447,Jake Rogers,C,DET,35,0.217,112,14,4,8,0.125,0.481,"$700,000"
448,Sheldon Neuse,SS,OAK,25,0.154,55,14,0,7,0.255,0.609,"$700,000"
449,Steven Brault,SP,PIT,34,0.21,42,14,1,2,0.333,0.777,$0
450,Magneuris Sierra,CF,MIA,15,0.093,40,14,0,1,0.35,0.806,$0
451,Jacob deGrom,SP,NYM,34,0.21,65,13,2,6,0.2,0.569,"$18,500,000"
452,Steven Matz,SP,NYM,36,0.222,57,13,1,1,0.228,0.509,"$10,000,000"
453,Sean Murphy,C,OAK,19,0.117,52,13,4,8,0.25,0.916,"$700,000"
454,Edwin Rios,1B,LAD,28,0.173,47,13,4,8,0.277,1.01,"$700,000"
455,Stephen Strasburg,SP,WSH,34,0.21,72,12,1,10,0.167,0.422,"$23,571,428"
456,Zack Cozart,3B,LAA,39,0.241,97,12,0,7,0.124,0.322,$0
457,Tim Federowicz,C,TEX,29,0.179,75,12,4,7,0.16,0.559,$0
458,Zack Wheeler,SP,NYM,31,0.191,57,12,1,6,0.211,0.561,"$26,000,000"
459,Kenta Maeda,RP,LAD,41,0.253,48,12,0,6,0.25,0.542,"$3,000,000"
460,Andrew Knizner,C,STL,18,0.111,53,12,2,7,0.226,0.67,"$700,000"
461,Kyle Higashioka,C,NYY,18,0.111,56,12,3,11,0.214,0.675,"$935,000"
462,Brandon Woodruff,SP,MIL,27,0.167,45,12,0,4,0.267,0.638,"$6,800,000"
463,Chad Wallach,C,MIA,19,0.117,48,12,1,3,0.25,0.708,$0
464,Lane Thomas,CF,STL,34,0.21,38,12,4,12,0.316,1.093,"$700,000"
465,Josh Fuentes,1B,COL,24,0.148,55,12,3,7,0.218,0.632,$0
466,Danny Mendick,SS,CHW,16,0.099,39,12,2,4,0.308,0.787,"$700,000"
467,John Ryan Murphy,C,ATL,26,0.161,63,11,4,7,0.175,0.659,$0
468,Andrew Stevenson,OF,WSH,30,0.185,30,11,0,0,0.367,0.953,$0
469,German Marquez,SP,COL,29,0.179,48,11,0,11,0.229,0.583,"$11,000,000"
470,Max Fried,SP,ATL,40,0.247,56,11,0,4,0.196,0.53,"$6,500,000"
471,Breyvic Valera,2B,TOR,17,0.105,47,11,1,6,0.234,0.691,$0
472,LaMonte Wade,CF,MIN,26,0.161,56,11,2,5,0.196,0.723,"$700,000"
473,Nick Dini,C,KC,20,0.124,56,11,2,6,0.196,0.627,$0
474,Max Scherzer,SP,WSH,29,0.179,55,10,0,2,0.182,0.364,"$43,333,333"
475,Jake Elmore,LF,PIT,20,0.124,47,10,0,4,0.213,0.479,$0
476,Michael Lorenzen,RP,CIN,106,0.654,48,10,1,6,0.208,0.596,"$6,750,000"
477,Jack Flaherty,SP,STL,38,0.235,54,10,0,4,0.185,0.451,"$5,000,000"
478,Corban Joseph,1B,PIT,28,0.173,64,10,1,7,0.156,0.441,$0
479,Caleb Smith,SP,MIA,30,0.185,43,10,0,3,0.233,0.529,"$2,000,000"
480,Michael Perez,C,TB,23,0.142,46,10,0,2,0.217,0.672,$0
481,Jack Mayfield,2B,HOU,26,0.161,64,10,2,5,0.156,0.497,"$700,000"
482,Jon Lester,SP,CHC,32,0.198,48,9,1,6,0.188,0.556,$0
483,Abraham Almonte,CF,ARI,17,0.105,31,9,1,4,0.29,0.969,$0
484,Peter Lambert,SP,COL,22,0.136,28,9,0,2,0.321,0.709,"$762,500"
485,Alex Blandino,3B,CIN,23,0.142,36,9,1,3,0.25,0.781,$0
486,Daniel Palka,LF,CHW,30,0.186,84,9,2,4,0.107,0.372,$0
487,Brett Phillips,RF,KC,30,0.185,65,9,2,6,0.139,0.512,"$1,400,000"
488,Jason Martin,OF,PIT,20,0.124,36,9,0,2,0.25,0.631,$0
489,Adam Wainwright,SP,STL,32,0.198,50,8,0,2,0.16,0.409,"$17,500,000"
490,Madison Bumgarner,SP,SF,37,0.228,63,8,2,4,0.127,0.458,"$23,000,000"
491,Miles Mikolas,SP,STL,32,0.198,59,8,0,2,0.136,0.288,"$15,750,000"
