"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Daniel Hudson","2021","RP","SD","$6,000,000","$6,000,000","$2,096,770",""
"","Ketel Marte","2021","CF","ARI","$6,000,000","$6,000,000","$6,000,000",""
"","Dellin Betances","2021","RP","NYM","$6,000,000","$6,000,000","$6,000,000",""
"","Archie Bradley","2021","RP","PHI","$6,000,000","$6,000,000","$6,000,000",""
"","Enrique Hernandez","2021","2B","BOS","$6,000,000","$6,000,000","$4,500,000",""
"","Dansby Swanson","2021","SS","ATL","$6,000,000","$6,000,000","$6,000,000",""
"","Jon Gray","2021","SP","COL","$6,000,000","$6,000,000","$6,000,000",""
"","Taylor Rogers","2021","RP/CL","MIN","$6,000,000","$6,000,000","$6,000,000",""
"","Sean Manaea","2021","SP","OAK","$5,950,000","$5,950,000","$5,950,000",""
"","Kenta Maeda","2021","SP","MIN","$3,000,000","$5,625,000","$2,561,000",""
"","Jose Berrios","2021","SP","TOR","$5,600,000","$5,600,000","$1,957,020",""
"","Robbie Grossman","2021","LF","DET","$5,000,000","$5,500,000","$5,500,000",""
"","Kirby Yates","2021","RP","TOR","$5,500,000","$5,500,000","$5,500,000",""
"","Corey Knebel","2021","RP/CL","LAD","$5,250,000","$5,250,000","$5,250,000",""
"","Marco Gonzales","2021","SP","SEA","$5,000,000","$5,250,000","$5,250,000",""
"","Steven Matz","2021","SP","TOR","$5,200,000","$5,200,000","$5,200,000",""
"","Byron Buxton","2021","CF","MIN","$5,125,000","$5,125,000","$5,125,000",""
"","Kyle Freeland","2021","SP","COL","$5,025,000","$5,025,000","$5,025,000",""
"","Hector Neris","2021","RP","PHI","$5,000,000","$5,020,000","$5,020,000",""
"","Matt Olson","2021","1B","OAK","$5,000,000","$5,000,000","$5,000,000",""
"","Miguel Rojas","2021","SS","MIA","$5,000,000","$5,000,000","$5,000,000",""
"","Alex Wood","2021","SP","SF","$3,000,000","$5,000,000","$5,000,000",""
"","Cesar Hernandez","2021","2B","CHW","$5,000,000","$5,000,000","$1,747,330",""
"","Ronald Acuna Jr.","2021","RF","ATL","$5,000,000","$5,000,000","$5,000,000",""
"","Alex Colome","2021","RP","MIN","$5,000,000","$5,000,000","$5,000,000",""
"","Chris Bassitt","2021","SP","OAK","$4,900,000","$4,900,000","$4,900,000",""
"","Rhys Hoskins","2021","1B","PHI","$4,800,000","$4,800,000","$4,800,000",""
