Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Brian Roberts,0.105,5,0.182,0.415,BAL,10000000,No
Clayton Kershaw,0.21,2,0.207,0.454,LAD,7750000,No
Jonathan Niese,0.185,2,0.218,0.513,NYM,819500,No
Mat Latos,0.204,4,0.185,0.475,CIN,550000,No
Yovani Gallardo,0.204,9,0.164,0.418,MIL,5750000,No
Jason Bartlett,0.179,4,0.133,0.432,SD,5500000,No
R.A. Dickey,0.21,3,0.153,0.317,NYM,4750000,No
Jordan Zimmermann,0.198,4,0.193,0.527,WSH,2300000,No
Madison Bumgarner,0.198,6,0.162,0.439,SF,560000,No
Wade Miley,0.198,2,0.169,0.394,ARI,481000,No
Darin Ruf,0.074,10,0.333,1.079,PHI,480000,No
Cliff Lee,0.204,4,0.156,0.357,PHI,21500000,No
Brett Gardner,0.099,3,0.323,0.804,NYY,2800000,No
Jaime Garcia,0.124,3,0.25,0.686,STL,3375000,No
Travis Wood,0.173,4,0.189,0.491,CHC,480000,No
Carlos Peguero,0.105,7,0.179,0.55,SEA,480000,No
Jason Marquis,0.148,1,0.281,0.678,MIN,3000000,No
Bronson Arroyo,0.198,3,0.143,0.36,CIN,7000000,No
Ricky Nolasco,0.191,8,0.161,0.431,MIA,9000000,No
Taylor Teagarden,0.136,9,0.158,0.542,BAL,489500,No
Lucas Harrell,0.216,1,0.153,0.319,HOU,482000,No
Ivan De Jesus Jr.,0.191,4,0.22,0.559,LAD,480500,No
Justin Sellers,0.117,2,0.205,0.672,LAD,481000,No
Scott Van Slyke,0.167,7,0.167,0.511,LAD,480000,No
Homer Bailey,0.21,5,0.114,0.255,CIN,2500000,No
Chad Billingsley,0.154,2,0.191,0.4,LAD,9000000,No
Dan Johnson,0.086,6,0.364,1.367,CHW,900000,Si
Adam Wainwright,0.204,4,0.121,0.356,STL,9000000,No
Trevor Cahill,0.198,4,0.119,0.252,ARI,3700000,No
Jose Iglesias,0.154,2,0.118,0.391,BOS,2062500,No
Leonys Martin,0.148,6,0.174,0.605,TEX,2250000,No
Sandy Leon,0.074,2,0.267,0.722,WSH,480000,No
