Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Eric Stults,0.228,4,0.164,0.407,SD,507600
Homer Bailey,0.198,1,0.155,0.382,CIN,5350000
Koyie Hill,0.111,0,0.155,0.373,MIA,490000
Kris Medlen,0.198,4,0.164,0.471,ATL,2600000
Mat Latos,0.198,4,0.127,0.294,CIN,4250000
Henderson Alvarez,0.105,6,0.3,0.79,MIA,507900
Johnny Giavotella,0.086,4,0.22,0.626,KC,494000
Tyler Pastornicky,0.124,0,0.3,0.656,ATL,490000
Ryan Wheeler,0.173,7,0.22,0.506,COL,490000
Kolten Wong,0.198,0,0.153,0.363,STL,490000
Mark Teixeira,0.093,12,0.151,0.609,NYY,23125000
Cameron Maybin,0.086,5,0.157,0.467,SD,3100000
John McDonald,0.315,4,0.116,0.371,BOS,1500000
Jordan Zimmermann,0.198,2,0.123,0.273,WSH,5350000
Dillon Gee,0.198,4,0.133,0.341,NYM,527375
Jonathan Niese,0.148,4,0.205,0.535,NYM,3050000
Jose Constanza,0.13,3,0.258,0.516,ATL,490000
Wade Miley,0.21,8,0.133,0.381,ARI,500500
Patrick Corbin,0.204,3,0.123,0.346,ARI,494000
Bryan Holaday,0.099,2,0.296,0.811,DET,490000
Logan Watkins,0.167,0,0.211,0.505,CHC,490000
Tuffy Gosewisch,0.086,3,0.178,0.396,ARI,490000
Jim Adduci,0.104,0,0.258,0.614,TEX,490000
Ian Kennedy,0.198,1,0.132,0.396,SD,2144153
Kyle Kendrick,0.198,2,0.125,0.334,PHI,5000000
Paul Maholm,0.161,2,0.135,0.324,ATL,6500000
Paul Janish,0.321,2,0.171,0.442,ATL,725000
Stephen Strasburg,0.185,2,0.143,0.36,WSH,3900000
Jeff Samardzija,0.204,2,0.113,0.321,CHC,2640000
Michael Martinez,0.179,3,0.175,0.35,PHI,490000
Randall Delgado,0.13,1,0.219,0.461,ARI,495000
Marco Estrada,0.13,2,0.206,0.464,MIL,1955000
Wily Peralta,0.198,0,0.14,0.297,MIL,490000
Tony Cingrani,0.148,1,0.25,0.536,CIN,490000
Jhonatan Solano,0.148,2,0.146,0.368,WSH,490000
Gerrit Cole,0.117,5,0.206,0.434,PIT,490000
Billy Hamilton,0.08,1,0.368,0.902,CIN,490000
Andrew Lambo,0.111,2,0.233,0.703,PIT,490000
Tim Hudson,0.13,3,0.158,0.501,ATL,9500000
Ricky Nolasco,0.21,1,0.12,0.374,LAD,11500000
Tim Lincecum,0.198,1,0.105,0.29,SF,22250000
Madison Bumgarner,0.191,4,0.107,0.285,SF,975000
Tyson Ross,0.222,0,0.182,0.364,SD,500500
Carlos Triunfel,0.105,2,0.136,0.311,SEA,490000
Edinson Volquez,0.204,4,0.119,0.354,LAD,490000
Matt Cain,0.185,2,0.096,0.226,SF,20833333
Barry Zito,0.185,2,0.147,0.294,SF,20000000
Juan Nicasio,0.191,3,0.139,0.364,COL,491000
Gio Gonzalez,0.198,1,0.089,0.281,WSH,6350000
Brett Hayes,0.031,2,0.278,0.889,KC,600000
Charlie Morton,0.124,1,0.139,0.278,PIT,2000000
Robinson Chirinos,0.08,0,0.179,0.519,TEX,490000
Steve Clevenger,0.074,2,0.217,0.511,BAL,496000
Jeff Locke,0.185,0,0.106,0.249,PIT,497500
Quintin Berry,0.08,4,0.625,1.667,BOS,490000
Joe Kelly,0.247,2,0.152,0.353,STL,493000
Matt Harvey,0.167,2,0.086,0.222,NYM,498750
Jeff Kobernus,0.148,1,0.167,0.572,WSH,490000
Nick Castellanos,0.068,0,0.278,0.556,DET,490000
Michael Choice,0.056,0,0.278,0.649,OAK,490000
Reymond Fuentes,0.142,1,0.152,0.374,SD,490000
Bronson Arroyo,0.198,0,0.068,0.136,CIN,6500000
Matt Garza,0.147,2,0.222,0.541,TEX,10250000
A.J. Burnett,0.185,2,0.068,0.166,PIT,16500000
Trevor Cahill,0.161,5,0.082,0.224,ARI,5700000
Lance Lynn,0.204,2,0.074,0.212,STL,513000
Andy Parrino,0.086,1,0.118,0.343,OAK,492500
