Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Raisel Iglesias,RP/CL,68,0,67.0,61,31,31,21,89,3,12,34,1.22,4.16,CIN,6000000
Nestor Cortes,RP,33,1,66.7,75,44,42,28,69,5,1,0,1.54,5.67,NYY,555000
John Gant,RP,64,0,66.3,51,29,27,34,60,11,1,3,1.28,3.66,STL,571300
Will Smith,RP,63,0,65.3,46,20,20,21,96,6,0,34,1.03,2.76,SF,4225000
Will Smith,RP,63,0,65.3,46,20,20,21,96,6,0,34,1.03,2.76,LAD,555000
Richard Rodriguez,RP/CL,72,0,65.3,65,30,27,23,63,4,5,1,1.35,3.72,PIT,650000
Roberto Osuna,RP/CL,66,0,65.0,45,20,19,12,73,4,3,38,0.88,2.63,HOU,6500000
Nick Anderson,RP,68,0,65.0,52,24,24,18,110,5,4,1,1.08,3.32,TB,555000
Robert Stephenson,RP,57,0,64.7,43,30,27,24,81,3,2,0,1.04,3.76,CIN,565000
Joseph Biagini,RP,63,0,64.7,71,35,33,26,60,3,2,1,1.5,4.59,HOU,900000
Matt Barnes,RP,70,0,64.3,51,29,27,38,110,5,4,4,1.38,3.78,BOS,1600000
Trevor May,RP,65,0,64.3,43,24,21,26,79,5,3,2,1.07,2.94,MIN,900000
Luke Weaver,SP,13,12,64.3,55,22,21,14,69,4,3,0,1.07,2.94,ARI,581300
Steve Cishek,RP,70,0,64.0,48,22,21,29,57,4,6,7,1.2,2.95,CHC,6500000
Joe Ross,SP,28,9,64.0,74,41,39,33,57,4,4,0,1.67,5.48,WSH,1000000
Chad Bettis,SP,39,3,63.7,78,47,43,21,42,1,6,1,1.55,6.08,COL,3325000
Robert Gsellman,RP,52,0,63.7,64,36,33,23,60,2,3,1,1.37,4.67,NYM,582500
Ian Kennedy,RP,63,0,63.3,64,24,24,17,73,3,2,30,1.28,3.41,KC,16500000
Kenley Jansen,RP/CL,62,0,63.0,51,28,26,16,80,5,3,34,1.06,3.71,LAD,19333334
Chi Chi Gonzalez,SP,14,12,63.0,59,39,37,33,46,2,6,0,1.46,5.29,COL,555000
Mychal Givens,RP,58,0,63.0,49,35,32,26,86,2,6,11,1.19,4.57,BAL,2150000
Shane Greene,RP,65,0,62.7,46,22,16,17,64,0,3,23,1.0,2.3,ATL,4000000
Sam Dyson,RP,61,0,62.3,53,26,23,13,55,5,1,2,1.06,3.32,MIN,5000000
Yimi Garcia,RP,64,0,62.3,40,28,25,14,66,1,4,0,0.87,3.61,LAD,710000
Brett Martin,P,51,2,62.3,72,38,33,18,62,2,3,0,1.44,4.77,TEX,555000
Alexander Claudio,RP,83,0,62.0,57,29,28,24,44,2,2,0,1.31,4.07,MIL,1275000
Luis Garcia,RP,64,1,62.0,61,35,30,33,57,2,1,1,1.52,4.36,LAA,1675000
Josh A. Smith,RP,36,4,62.0,72,44,40,16,58,0,6,2,2.84,11.62,BOS,555000
Tommy Kahnle,RP,72,0,61.3,45,27,25,20,88,3,2,0,1.06,3.67,NYY,1387500
Cam Bedrosian,RP,59,7,61.3,48,30,22,22,64,3,3,1,1.14,3.23,LAA,1750000
Josh James,RP,49,1,61.3,46,34,32,35,100,5,1,1,1.32,4.7,HOU,566800
