Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
John Gant,RP,39,21,110.0,95,56,50,71,92,5,11,0,1.51,4.09,MIN,2100000
Paolo Espino,RP,35,19,109.7,108,53,52,25,92,5,5,1,1.21,4.27,WSH,570500
Michael Pineda,SP,22,21,109.3,114,49,44,21,88,9,8,0,1.24,3.62,MIN,10000000
Chris Paddack,SP,24,22,108.3,115,67,61,22,99,7,7,0,1.26,5.07,SD,610900
Joe Ross,SP,22,19,108.0,98,57,50,34,109,5,9,0,1.22,4.17,WSH,1500000
Jose Urquidy,SP,20,20,107.0,86,43,43,19,90,8,3,0,0.98,3.62,HOU,604200
Kwang-hyun Kim,SP,27,21,106.7,98,46,41,39,80,7,7,1,1.28,3.46,STL,4000000
Kenta Maeda,SP,23,21,106.3,106,60,55,32,113,6,5,0,1.3,4.66,MIN,5625000
Tyler Alexander,SP,41,15,106.3,106,47,45,28,87,2,4,0,1.26,3.81,DET,578800
Ranger Suarez,SP,39,12,106.0,73,20,16,33,107,8,5,4,1.0,1.36,PHI,570500
Zach Eflin,SP,18,18,105.7,116,52,49,16,99,4,7,0,1.25,4.17,PHI,4450000
Taylor Hearn,RP,42,11,104.3,96,58,54,42,92,6,5,0,1.32,4.66,TEX,582500
Josh Fleming,SP,26,11,104.3,109,60,59,31,65,10,8,1,1.34,5.09,TB,570500
Pablo Lopez,SP,21,20,102.7,89,37,35,26,115,5,5,0,1.12,3.07,MIA,595000
Ross Stripling,SP,24,19,101.3,99,55,54,30,94,5,7,0,1.27,4.8,TOR,3000000
Cristian Javier,SP,36,9,101.3,67,41,40,53,130,4,1,2,1.18,3.55,HOU,620400
Mitch Keller,SP,24,23,100.7,131,69,69,49,92,5,11,0,1.79,6.17,PIT,579000
Domingo German,SP,22,18,98.3,89,52,50,27,98,4,5,0,1.18,4.58,NYY,619675
Jose Suarez,SP,23,14,98.3,85,45,41,36,85,8,8,0,1.23,3.75,LAA,570500
Jesus Luzardo,SP,25,18,95.3,106,73,70,48,98,6,9,0,1.62,6.61,MIA,575500
Keegan Akin,SP,24,17,95.0,110,70,70,40,82,2,10,0,1.58,6.63,BAL,570500
Vincent Velasquez,SP,26,21,94.3,91,68,66,49,101,4,9,0,1.48,6.3,SD,570500
Wily Peralta,SP,19,18,93.7,87,41,32,38,58,4,5,0,1.34,3.08,DET,1500000
Alex Cobb,SP,18,18,93.3,85,46,39,33,98,8,3,0,1.26,3.76,LAA,15000000
Nestor Cortes,SP,23,14,93.0,75,32,30,25,103,2,3,0,1.08,2.9,NYY,570500
Bailey Ober,SP,20,20,92.3,92,45,43,19,96,3,3,0,1.2,4.19,MIN,570500
