"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023","Age","Weight","Height",""
"","Jose Quintana","SP","STL","32","32","165.7","154","61","54","47","137","6","7","0","1.21","2.93","1.98","71.04","$13,000,000","33","220","6'1""",""
"","Jose Urquidy","SP","HOU","29","28","164.3","154","74","72","38","134","13","8","0","1.17","3.94","1.22","63.76","$3,687,756","27","217","6'0""",""
"","Corey Kluber","SP","TB","31","31","164.0","178","82","79","21","139","10","10","0","1.21","4.34","0.80","35.90","$10,000,000","36","215","6'4""",""
"","Lucas Giolito","SP","CHW","30","30","161.7","171","92","88","61","177","11","9","0","1.43","4.90","0.12","16.22","$10,998,801","27","245","6'6""",""
"","Mitch Keller","SP","PIT","31","29","159.0","162","77","69","60","138","5","12","0","1.40","3.91","2.04","50.83","$2,290,547","26","220","6'2""",""
"","Madison Bumgarner","SP","ARI","30","30","158.7","179","97","86","49","112","7","15","0","1.44","4.88","-0.86","3.26","$23,000,000","32","257","6'4""",""
"","Eric Lauer","SP","MIL","29","29","158.7","135","71","65","59","157","11","7","0","1.22","3.69","1.21","51.11","$4,703,389","27","205","6'3""",""
"","Sean Manaea","SP","SD","30","28","158.0","155","95","87","50","156","8","9","0","1.30","4.96","-1.18","7.96","$12,500,000","30","245","6'5""",""
"","Taijuan Walker","SP","NYM","29","29","157.3","143","63","61","45","132","12","5","0","1.20","3.49","2.27","66.22","$18,000,000","29","235","6'4""",""
"","Luis Garcia","SP","HOU","28","28","157.3","131","70","65","47","157","15","8","0","1.13","3.72","1.36","66.56","$0","25","244","6'1""",""
"","Ranger Suarez","SP","PHI","29","29","155.3","149","74","63","58","129","10","7","0","1.33","3.65","2.94","76.23","$4,048,864","26","217","6'1""",""
"","Dane Dunning","SP","TEX","29","29","153.3","158","80","76","62","137","4","8","0","1.43","4.46","1.16","29.48","$0","27","225","6'4""",""
"","Brandon Woodruff","SP","MIL","27","27","153.3","122","56","52","42","190","13","4","0","1.07","3.05","2.74","78.24","$13,764,810","29","243","6'4""",""
"","Brady Singer","SP","KC","27","24","153.3","140","58","55","35","150","10","5","0","1.14","3.23","4.46","88.78","$3,104,055","25","215","6'5""",""
"","Zack Wheeler","SP","PHI","26","26","153.0","125","52","48","34","163","12","7","0","1.04","2.82","5.09","69.11","$24,500,000","32","195","6'4""",""
